fan_out,n_tweets,n_channels,selectivity_pct,median_ms,mean_ms,min_ms,max_ms,server_traversal_median_ms,server_build_median_ms,correctness_failures
200,100,100,50.0,5.861,5.865,5.74,6.041,1.245,0.0,0
200,40,160,20.0,5.656,5.625,5.219,5.946,1.0296,0.0,0
200,20,180,10.0,4.944,4.957,4.78,5.079,0.6924,0.0,0
200,10,190,5.0,4.792,4.799,4.709,4.865,0.6138,0.0,0
200,4,196,2.0,4.815,4.945,4.745,5.371,0.5811,0.0,0
50,3,47,6.0,5.024,5.042,4.866,5.25,0.5797,0.0,0
100,5,95,5.0,4.92,4.911,4.831,4.983,0.5788,0.0,0
400,20,380,5.0,4.919,4.937,4.914,4.988,0.7114,0.0,0
500,5,495,1.0,4.779,4.831,4.725,4.955,0.5992,0.0,0
500,25,475,5.0,5.067,5.089,4.999,5.225,0.741,0.0,0
500,50,450,10.0,5.352,5.361,5.275,5.458,0.9573,0.0,0
